Time;HTI893
08/04/2018  10:49:17;49.579
08/04/2018  12:49:17;49.997
08/04/2018  14:49:17;49.694
08/04/2018  16:47:17;49.997
08/04/2018  18:45:17;49.579
08/04/2018  19:49:17;49.272
08/04/2018  20:21:17;48.928
08/04/2018  20:37:17;48.620
08/04/2018  21:05:17;48.125
08/04/2018  21:25:17;47.046
08/04/2018  21:41:17;46.587
08/04/2018  21:59:17;45.972
08/04/2018  23:59:17;46.467
09/04/2018  00:15:17;46.811
09/04/2018  00:27:17;47.275
09/04/2018  02:25:17;47.583
09/04/2018  04:25:17;47.890
09/04/2018  06:23:17;47.395
09/04/2018  08:23:17;47.432
09/04/2018  10:09:17;47.854
09/04/2018  11:23:17;48.313
09/04/2018  13:21:17;48.808
09/04/2018  15:01:17;49.235
09/04/2018  16:21:17;49.694
09/04/2018  18:21:17;49.392
09/04/2018  19:43:17;48.964
09/04/2018  20:21:17;48.662
09/04/2018  21:57:17;48.313
09/04/2018  22:49:17;47.890
10/04/2018  00:23:17;47.505
10/04/2018  02:01:17;47.890
10/04/2018  03:13:17;47.395
10/04/2018  03:47:17;47.046
10/04/2018  04:55:17;47.541
10/04/2018  06:01:17;48.000
10/04/2018  07:41:17;48.349
10/04/2018  09:41:17;48.047
10/04/2018  10:09:17;48.542
10/04/2018  12:09:17;49.001
10/04/2018  12:57:17;49.157
10/04/2018  12:57:17;49.157
10/04/2018  12:58:59;49.121
10/04/2018  14:58:56;49.423
10/04/2018  16:40:56;49.887
10/04/2018  18:40:56;50.153
10/04/2018  19:36:56;49.772
10/04/2018  20:38:56;49.423
10/04/2018  21:24:56;49.731
10/04/2018  23:18:56;49.272
11/04/2018  00:34:56;48.964
11/04/2018  02:34:56;48.964
11/04/2018  04:32:56;49.001
11/04/2018  05:44:56;48.620
11/04/2018  07:44:56;48.964
11/04/2018  09:44:56;49.423
11/04/2018  10:44:56;49.887
11/04/2018  12:40:56;50.346
11/04/2018  14:40:56;50.195
11/04/2018  15:00:56;49.851
11/04/2018  15:06:56;48.620
11/04/2018  15:14:56;46.889
