Time;HPDIC059
06/05/2018  08:15:35;0.995
06/05/2018  10:15:27;1.003
06/05/2018  12:15:19;0.993
06/05/2018  14:15:11;1.001
06/05/2018  16:15:03;0.998
06/05/2018  18:14:55;1.004
06/05/2018  20:14:47;0.997
06/05/2018  22:14:39;1.009
07/05/2018  00:14:31;0.989
07/05/2018  02:14:23;0.990
07/05/2018  04:14:15;1.009
07/05/2018  06:14:07;0.990
07/05/2018  08:13:59;1.008
07/05/2018  10:13:51;1.013
07/05/2018  12:13:43;1.008
07/05/2018  14:13:35;1.009
07/05/2018  16:13:27;1.009
07/05/2018  18:13:19;0.990
07/05/2018  20:13:11;0.995
07/05/2018  22:13:03;0.991
08/05/2018  00:12:55;0.986
08/05/2018  02:12:47;0.984
08/05/2018  04:12:39;1.007
08/05/2018  06:12:31;0.995
08/05/2018  08:12:23;0.993
08/05/2018  10:12:15;0.996
08/05/2018  12:12:07;0.993
08/05/2018  14:11:59;1.015
08/05/2018  16:11:51;1.007
08/05/2018  18:11:43;0.996
08/05/2018  20:11:35;1.026
08/05/2018  22:11:27;1.009
09/05/2018  00:11:19;0.989
09/05/2018  02:11:11;1.020
09/05/2018  04:11:03;0.963
09/05/2018  06:10:55;1.011
09/05/2018  08:10:47;1.001
09/05/2018  10:10:39;0.950
09/05/2018  12:10:31;0.938
09/05/2018  14:10:23;0.995
09/05/2018  16:10:15;0.996
09/05/2018  18:10:07;1.025
09/05/2018  20:09:59;1.018
09/05/2018  22:09:51;0.983
10/05/2018  00:09:43;0.985
10/05/2018  02:09:35;0.989
10/05/2018  04:09:27;0.976
10/05/2018  06:09:19;0.982
10/05/2018  08:09:11;1.018
10/05/2018  10:09:03;0.995
10/05/2018  12:08:55;0.998
10/05/2018  14:08:47;1.019
10/05/2018  16:08:39;1.024
10/05/2018  18:08:31;1.007
10/05/2018  20:08:23;0.979
10/05/2018  22:08:15;1.027
11/05/2018  00:08:07;0.979
11/05/2018  02:07:59;1.013
11/05/2018  04:07:51;1.003
11/05/2018  06:07:43;0.972
11/05/2018  08:07:35;0.962
11/05/2018  10:07:27;0.975
11/05/2018  12:07:19;0.984
11/05/2018  14:07:11;1.024
11/05/2018  16:07:03;0.997
11/05/2018  18:06:55;1.013
11/05/2018  20:06:47;1.016
11/05/2018  22:06:39;1.026
12/05/2018  00:06:31;1.022
12/05/2018  02:06:23;1.009
12/05/2018  04:06:15;0.975
12/05/2018  06:06:07;0.975
12/05/2018  08:05:59;0.975
12/05/2018  10:05:51;0.995
12/05/2018  12:05:43;0.997
12/05/2018  14:05:35;0.966
12/05/2018  16:05:27;0.974
12/05/2018  18:05:19;1.004
12/05/2018  20:05:11;0.967
12/05/2018  22:05:03;1.030
13/05/2018  00:04:55;1.038
13/05/2018  02:04:47;1.025
13/05/2018  04:04:39;1.000
13/05/2018  06:04:31;0.984
13/05/2018  08:04:23;0.992
13/05/2018  10:04:15;1.017
13/05/2018  12:04:07;0.984
13/05/2018  14:03:59;1.050
13/05/2018  16:03:51;0.974
13/05/2018  18:03:43;0.982
13/05/2018  20:03:35;0.975
13/05/2018  22:03:27;0.995
14/05/2018  00:03:19;0.965
14/05/2018  02:03:11;0.995
14/05/2018  04:03:03;1.022
14/05/2018  06:02:55;1.013
14/05/2018  08:02:47;1.023
14/05/2018  10:02:39;1.039
14/05/2018  12:02:31;1.000
14/05/2018  14:02:23;0.998
14/05/2018  16:02:15;0.997
14/05/2018  18:02:07;0.984
14/05/2018  20:01:59;0.994
14/05/2018  22:01:51;0.986
15/05/2018  00:01:43;1.024
15/05/2018  02:01:35;0.965
15/05/2018  04:01:27;0.968
15/05/2018  06:01:19;0.973
15/05/2018  08:01:11;1.014
15/05/2018  10:01:03;1.014
15/05/2018  12:00:55;0.975
15/05/2018  14:00:47;1.038
15/05/2018  16:00:39;0.978
15/05/2018  18:00:31;0.988
15/05/2018  20:00:23;1.016
15/05/2018  22:00:15;1.026
16/05/2018  00:00:07;0.986
16/05/2018  01:59:59;1.006
16/05/2018  03:59:51;0.977
16/05/2018  05:59:43;0.963
16/05/2018  07:59:35;0.975
16/05/2018  09:59:27;0.990
16/05/2018  11:59:19;1.012
16/05/2018  13:59:11;1.011
16/05/2018  15:59:03;0.997
16/05/2018  17:58:55;1.024
16/05/2018  19:58:47;0.973
16/05/2018  21:58:39;1.030
16/05/2018  23:58:31;1.008
17/05/2018  01:58:23;1.002
17/05/2018  03:58:15;0.977
17/05/2018  05:58:07;1.011
17/05/2018  07:57:59;1.003
17/05/2018  09:57:51;0.989
17/05/2018  11:57:43;1.016
17/05/2018  13:57:35;1.013
17/05/2018  15:57:27;0.968
17/05/2018  17:57:19;1.003
17/05/2018  19:57:11;0.976
17/05/2018  21:57:03;1.002
17/05/2018  23:56:55;1.016
18/05/2018  01:56:47;0.959
18/05/2018  03:56:39;0.967
18/05/2018  05:56:31;0.968
18/05/2018  07:56:23;0.970
18/05/2018  09:56:15;0.964
18/05/2018  11:56:07;1.027
18/05/2018  13:55:59;1.033
18/05/2018  15:55:51;0.971
18/05/2018  17:55:43;0.995
18/05/2018  19:55:35;0.995
18/05/2018  21:55:27;1.002
18/05/2018  23:55:19;1.026
19/05/2018  01:55:11;1.003
19/05/2018  03:55:03;1.005
19/05/2018  05:54:55;1.015
19/05/2018  07:54:47;0.971
19/05/2018  09:54:39;0.964
19/05/2018  11:54:31;0.992
19/05/2018  13:54:23;1.027
19/05/2018  15:54:15;0.988
19/05/2018  17:54:07;0.959
19/05/2018  19:53:59;1.024
19/05/2018  21:53:51;0.966
19/05/2018  23:53:43;0.993
20/05/2018  01:53:35;1.042
20/05/2018  03:53:27;1.028
20/05/2018  05:53:19;1.042
20/05/2018  07:53:11;1.002
20/05/2018  09:53:03;0.969
20/05/2018  11:52:55;0.979
