
Time;HTI889I
09/04/2019  16:21:03;58.359
09/04/2019  16:23:03;58.979
09/04/2019  16:29:03;58.979
09/04/2019  16:31:03;58.359
09/04/2019  16:47:03;58.395
09/04/2019  16:49:03;59.016
09/04/2019  16:51:03;58.395
09/04/2019  16:57:03;58.395
09/04/2019  16:59:03;59.016
09/04/2019  17:01:03;58.395
09/04/2019  17:23:03;58.359
09/04/2019  17:25:03;58.979
09/04/2019  17:31:03;59.016
09/04/2019  17:33:03;58.395
09/04/2019  17:35:03;59.016
09/04/2019  17:41:03;58.865
09/04/2019  19:37:03;58.979
09/04/2019  19:39:03;58.166
09/04/2019  19:41:03;58.823
09/04/2019  19:49:03;58.166
09/04/2019  19:51:03;58.666
09/04/2019  19:57:03;58.630
09/04/2019  21:19:03;58.865
09/04/2019  21:21:03;58.057
09/04/2019  21:23:03;58.666
09/04/2019  21:29:03;58.552
09/04/2019  21:31:03;57.931
09/04/2019  21:33:03;58.708
09/04/2019  21:43:03;58.708
09/04/2019  21:45:03;58.088
09/04/2019  21:49:03;58.708
09/04/2019  21:51:03;58.088
09/04/2019  21:53:03;58.708
09/04/2019  21:55:03;57.931
09/04/2019  22:01:03;58.249
09/04/2019  23:25:03;58.202
09/04/2019  23:27:03;58.823
09/04/2019  23:45:03;58.708
10/04/2019  00:07:03;58.666
10/04/2019  00:09:03;58.166
10/04/2019  00:27:03;58.359
10/04/2019  02:27:03;58.166
10/04/2019  03:17:03;58.202
10/04/2019  03:23:03;58.515
10/04/2019  03:47:03;58.359
10/04/2019  04:17:03;58.202
10/04/2019  05:45:03;58.010
10/04/2019  05:49:03;58.057
10/04/2019  05:51:03;57.394
10/04/2019  05:53:03;58.010
10/04/2019  06:05:03;58.057
10/04/2019  06:07:03;57.436
10/04/2019  06:09:03;58.057
10/04/2019  08:09:03;58.166
10/04/2019  08:21:03;57.436
10/04/2019  08:23:03;58.057
10/04/2019  09:33:03;57.853
10/04/2019  09:41:03;57.707
10/04/2019  09:45:03;57.707
10/04/2019  09:47:03;57.087
10/04/2019  10:01:03;57.280
10/04/2019  10:05:03;57.853
10/04/2019  11:05:03;57.900
10/04/2019  12:27:03;57.853
10/04/2019  12:29:03;58.437
10/04/2019  12:33:03;58.515
10/04/2019  12:35:03;57.853
10/04/2019  12:37:03;58.359
10/04/2019  13:25:03;58.057
10/04/2019  13:29:03;58.010
10/04/2019  13:49:03;57.853
10/04/2019  13:51:03;57.243
10/04/2019  13:53:03;57.822
10/04/2019  14:05:03;57.744
10/04/2019  14:07:03;57.243
10/04/2019  14:23:03;57.665
10/04/2019  14:27:03;58.166
10/04/2019  14:29:03;57.587
10/04/2019  14:45:03;57.629
10/04/2019  15:07:03;57.587
10/04/2019  15:09:03;58.202
10/04/2019  17:09:03;58.359
10/04/2019  17:43:03;58.010
10/04/2019  18:03:03;57.744
10/04/2019  18:15:03;57.436
10/04/2019  18:23:03;57.316
10/04/2019  18:59:03;57.243
10/04/2019  19:01:03;57.900
10/04/2019  19:23:03;57.744
10/04/2019  19:25:03;57.087
10/04/2019  19:27:03;57.707
10/04/2019  19:45:03;57.744
10/04/2019  19:47:03;57.087
10/04/2019  19:49:03;57.744
10/04/2019  19:59:03;57.473
10/04/2019  20:41:03;57.744
10/04/2019  20:43:03;56.972
10/04/2019  20:45:03;57.707
10/04/2019  20:49:03;57.744
10/04/2019  20:51:03;56.972
10/04/2019  20:53:03;57.744
10/04/2019  20:59:03;57.123
10/04/2019  21:37:03;57.243
10/04/2019  21:39:03;57.744
10/04/2019  21:41:03;56.972
10/04/2019  21:43:03;57.744
10/04/2019  21:49:03;57.123
10/04/2019  21:51:03;57.707
10/04/2019  23:49:03;57.853
11/04/2019  01:31:03;57.707
11/04/2019  02:55:03;58.010
11/04/2019  04:05:03;58.010
11/04/2019  04:07:03;57.394
11/04/2019  04:15:03;57.436
11/04/2019  04:19:03;57.587
11/04/2019  04:27:03;57.822
11/04/2019  05:47:03;57.853
11/04/2019  05:49:03;57.243
11/04/2019  05:57:03;57.394
11/04/2019  07:19:03;57.243
11/04/2019  07:47:03;57.202
11/04/2019  08:45:03;57.358
11/04/2019  08:47:03;56.581
11/04/2019  08:55:03;56.581
11/04/2019  08:57:03;57.202
11/04/2019  09:01:03;57.165
11/04/2019  09:03:03;56.550
11/04/2019  09:05:03;57.165
11/04/2019  09:29:03;57.358
11/04/2019  10:51:03;57.436
11/04/2019  10:55:03;57.394
11/04/2019  10:57:03;58.010
11/04/2019  12:57:03;58.010
11/04/2019  14:43:03;58.166
11/04/2019  16:29:03;58.124
11/04/2019  17:01:03;58.474
11/04/2019  17:25:03;58.630
11/04/2019  18:43:03;58.474
11/04/2019  18:45:03;57.853
11/04/2019  18:47:03;58.359
11/04/2019  19:23:03;58.474
11/04/2019  19:25:03;57.853
11/04/2019  19:27:03;58.474
11/04/2019  19:37:03;57.853
11/04/2019  19:41:03;57.822
11/04/2019  19:43:03;58.437
11/04/2019  20:17:03;58.359
11/04/2019  20:19:03;57.853
11/04/2019  20:27:03;57.853
11/04/2019  20:29:03;58.515
11/04/2019  20:33:03;58.474
11/04/2019  20:35:03;57.853
11/04/2019  20:37:03;58.474
11/04/2019  20:45:03;58.328
11/04/2019  21:51:03;58.202
11/04/2019  22:43:03;57.978
11/04/2019  23:03:03;58.057
