
Time;HVI878Y
23/05/2018  22:28:55;5.290
24/05/2018  00:28:53;5.135
24/05/2018  02:28:51;5.427
24/05/2018  04:28:49;5.086
24/05/2018  06:28:47;5.211
24/05/2018  08:28:45;5.232
24/05/2018  10:28:43;5.209
24/05/2018  12:28:41;5.079
24/05/2018  14:28:39;5.096
24/05/2018  16:28:37;5.200
24/05/2018  18:28:35;5.232
24/05/2018  20:28:33;5.232
24/05/2018  22:28:31;5.175
25/05/2018  00:28:29;5.209
25/05/2018  02:28:27;5.242
25/05/2018  04:28:25;5.264
25/05/2018  06:28:23;5.264
25/05/2018  08:28:21;5.079
25/05/2018  10:28:19;5.247
25/05/2018  12:28:17;5.151
25/05/2018  14:28:15;5.193
25/05/2018  16:28:13;5.166
25/05/2018  18:28:11;5.013
25/05/2018  20:28:09;5.110
25/05/2018  22:28:07;5.079
26/05/2018  00:28:05;5.281
26/05/2018  02:28:03;5.420
26/05/2018  04:28:01;5.151
26/05/2018  06:27:59;5.151
26/05/2018  08:27:57;5.118
26/05/2018  10:27:55;5.394
26/05/2018  12:27:53;5.216
26/05/2018  14:27:51;5.167
26/05/2018  16:27:49;5.248
26/05/2018  18:27:47;5.118
26/05/2018  20:27:45;5.068
26/05/2018  22:27:43;5.091
27/05/2018  00:27:41;5.394
27/05/2018  02:27:39;5.362
27/05/2018  04:27:37;5.345
27/05/2018  06:27:35;5.225
27/05/2018  08:27:33;5.264
27/05/2018  10:27:31;5.177
27/05/2018  12:27:29;5.183
27/05/2018  14:27:27;5.329
27/05/2018  16:27:25;5.193
27/05/2018  18:27:23;5.200
27/05/2018  20:27:21;5.177
27/05/2018  22:27:19;5.387
28/05/2018  00:27:17;5.110
28/05/2018  02:27:15;5.264
28/05/2018  04:27:13;5.274
28/05/2018  06:27:11;5.385
28/05/2018  08:27:09;5.323
28/05/2018  10:27:07;5.183
28/05/2018  12:27:05;5.112
28/05/2018  14:27:03;5.225
28/05/2018  16:27:01;5.436
28/05/2018  18:26:59;5.540
28/05/2018  20:26:57;5.485
28/05/2018  22:26:55;5.436
29/05/2018  00:26:53;5.475
29/05/2018  02:26:51;5.410
29/05/2018  04:26:49;5.128
29/05/2018  06:26:47;5.436
29/05/2018  08:26:45;5.264
29/05/2018  10:26:43;5.402
29/05/2018  12:26:41;5.329
29/05/2018  14:26:39;5.386
29/05/2018  16:26:37;5.425
