
"Time";"HTI889G";
"19/04/2018  01:04:56";"52,885";
"19/04/2018  03:02:56";"53,083";
"19/04/2018  05:02:56";"52,963";
"19/04/2018  07:02:56";"52,770";
"19/04/2018  09:00:56";"53,083";
"19/04/2018  11:00:56";"53,234";
"19/04/2018  13:00:56";"53,234";
"19/04/2018  15:00:56";"53,463";
"19/04/2018  17:00:56";"53,276";
"19/04/2018  18:58:56";"53,083";
"19/04/2018  20:56:56";"52,812";
"19/04/2018  22:56:56";"53,041";
"20/04/2018  00:54:56";"52,927";
"20/04/2018  02:54:56";"52,770";
"20/04/2018  04:54:56";"52,927";
"20/04/2018  06:52:56";"53,005";
"20/04/2018  08:50:56";"52,963";
"20/04/2018  10:50:56";"52,963";
"20/04/2018  12:48:56";"53,276";
"20/04/2018  14:48:56";"53,119";
"20/04/2018  16:48:56";"53,083";
"20/04/2018  18:46:56";"53,041";
"20/04/2018  20:46:56";"52,770";
"20/04/2018  22:46:56";"52,848";
"21/04/2018  00:44:56";"53,083";
"21/04/2018  02:08:56";"52,770";
"21/04/2018  04:06:56";"52,770";
"21/04/2018  06:06:56";"52,614";
"21/04/2018  08:04:56";"52,614";
"21/04/2018  08:54:56";"52,812";
"21/04/2018  10:54:56";"52,927";
"21/04/2018  12:54:56";"53,041";
"21/04/2018  14:54:56";"53,234";
"21/04/2018  16:52:56";"53,276";
"21/04/2018  18:52:56";"53,276";
"21/04/2018  20:24:56";"52,927";
"21/04/2018  22:22:56";"53,156";
"22/04/2018  00:22:56";"52,812";
"22/04/2018  02:22:56";"52,614";
"22/04/2018  04:22:56";"52,614";
"22/04/2018  06:20:56";"52,770";
"22/04/2018  08:18:56";"52,770";
"22/04/2018  10:18:56";"52,885";
"22/04/2018  12:18:56";"53,083";
"22/04/2018  14:18:56";"53,041";
"22/04/2018  16:16:56";"53,276";
"22/04/2018  18:16:56";"53,083";
"22/04/2018  20:16:56";"52,812";
"22/04/2018  22:14:56";"52,963";
"22/04/2018  23:28:56";"52,614";
"23/04/2018  01:28:56";"52,885";
"23/04/2018  03:26:56";"53,005";
"23/04/2018  05:26:56";"52,812";
"23/04/2018  07:24:56";"52,614";
"23/04/2018  09:24:56";"52,770";
"23/04/2018  11:12:56";"53,119";
"23/04/2018  13:12:56";"52,927";
"23/04/2018  14:56:56";"53,119";
"23/04/2018  16:54:56";"53,312";
"23/04/2018  18:04:56";"52,963";
"23/04/2018  20:04:56";"52,499";
"23/04/2018  22:02:56";"52,499";
"24/04/2018  00:02:56";"52,614";
"24/04/2018  02:02:56";"52,546";
"24/04/2018  04:00:56";"52,499";
"24/04/2018  05:58:56";"52,499";
"24/04/2018  07:56:56";"52,343";
"24/04/2018  09:38:56";"52,468";
"24/04/2018  09:40:56";"51,274";
"24/04/2018  09:42:56";"48,662";
"24/04/2018  09:44:56";"47,275";
"24/04/2018  09:58:56";"43,131";
"24/04/2018  10:10:56";"42,786";
"24/04/2018  10:22:56";"41,410";
"24/04/2018  11:02:56";"37,928";
"24/04/2018  11:08:56";"37,469";
"24/04/2018  11:36:56";"35,639";
"24/04/2018  11:46:56";"35,295";
"24/04/2018  11:58:56";"34,716";
"24/04/2018  12:12:56";"34,263";
"24/04/2018  12:28:56";"33,767";
"24/04/2018  12:46:56";"33,272";
"24/04/2018  13:12:56";"32,891";
"24/04/2018  13:42:56";"32,433";
"24/04/2018  14:28:56";"31,937";
"24/04/2018  16:28:56";"31,557";
"24/04/2018  18:28:56";"31,213";
"24/04/2018  20:28:56";"30,910";
"24/04/2018  21:38:56";"30,566";
"24/04/2018  23:02:56";"30,144";
"25/04/2018  00:50:56";"29,654";
"25/04/2018  00:52:56";"31,333";
"25/04/2018  00:54:56";"38,506";
"25/04/2018  00:56:56";"40,185";
"25/04/2018  01:02:56";"42,484";
"25/04/2018  01:20:56";"48,928";
"25/04/2018  01:38:56";"53,234";
"25/04/2018  01:40:56";"52,963";
"25/04/2018  01:42:56";"52,040";
"25/04/2018  02:22:56";"52,499";
"25/04/2018  04:22:56";"52,770";
"25/04/2018  06:22:56";"52,963";
"25/04/2018  08:22:56";"52,927";
"25/04/2018  10:20:56";"53,083";
"25/04/2018  12:18:56";"53,156";
"25/04/2018  14:16:56";"53,198";
"25/04/2018  16:14:56";"53,276";
"25/04/2018  18:14:56";"53,234";
"25/04/2018  20:14:56";"53,083";
"25/04/2018  22:14:56";"52,927";
"26/04/2018  00:12:56";"52,812";
"26/04/2018  02:12:56";"52,927";
"26/04/2018  04:10:56";"53,119";
"26/04/2018  06:10:56";"52,885";
"26/04/2018  08:10:56";"52,770";
"26/04/2018  10:08:56";"53,119";
"26/04/2018  12:08:56";"53,119";
"26/04/2018  14:06:56";"53,119";
"26/04/2018  16:06:56";"53,119";
"26/04/2018  18:06:56";"53,083";
"26/04/2018  20:04:56";"53,083";
"26/04/2018  22:04:56";"52,927";
"27/04/2018  00:04:56";"53,083";
"27/04/2018  02:02:56";"52,927";
"27/04/2018  04:02:56";"53,041";
"27/04/2018  06:00:56";"52,927";
"27/04/2018  08:00:56";"52,770";
"27/04/2018  09:58:56";"52,770";
"27/04/2018  11:58:56";"52,927";
"27/04/2018  13:56:56";"52,927";
"27/04/2018  15:56:56";"52,885";
"27/04/2018  17:56:56";"52,885";
"27/04/2018  19:56:56";"53,041";
"27/04/2018  21:56:56";"52,885";
"27/04/2018  23:54:56";"53,312";
"28/04/2018  01:54:56";"53,083";
"28/04/2018  03:52:56";"53,005";
"28/04/2018  05:50:56";"53,041";
"28/04/2018  07:50:56";"53,083";
"28/04/2018  09:50:56";"52,885";
"28/04/2018  10:56:56";"53,234";
"28/04/2018  12:56:56";"53,234";
"28/04/2018  14:56:56";"53,422";
"28/04/2018  16:54:56";"53,234";
"28/04/2018  18:54:56";"53,198";
"28/04/2018  20:52:56";"53,119";
"28/04/2018  21:58:56";"52,655";
"28/04/2018  23:56:56";"52,812";
"29/04/2018  01:54:56";"52,848";
"29/04/2018  03:54:56";"52,812";
"29/04/2018  05:52:56";"52,812";
"29/04/2018  07:52:56";"53,005";
"29/04/2018  09:50:56";"53,156";
"29/04/2018  11:48:56";"53,119";
"29/04/2018  13:46:56";"53,276";
"29/04/2018  15:46:56";"53,422";
"29/04/2018  17:44:56";"53,083";
"29/04/2018  19:44:56";"53,198";
"29/04/2018  20:58:56";"52,770";
"29/04/2018  22:58:56";"52,812";
"30/04/2018  00:56:56";"52,770";
"30/04/2018  02:56:56";"52,499";
"30/04/2018  04:54:56";"52,614";
"30/04/2018  06:54:56";"52,692";
"30/04/2018  08:54:56";"53,119";
"30/04/2018  10:52:56";"53,156";
"30/04/2018  12:52:56";"52,927";
"30/04/2018  14:52:56";"52,812";
"30/04/2018  16:50:56";"52,655";
"30/04/2018  18:48:56";"52,812";
"30/04/2018  20:30:56";"53,276";
"30/04/2018  21:16:56";"52,963";
"30/04/2018  23:16:56";"52,848";
"01/05/2018  01:16:56";"52,848";
"01/05/2018  03:16:56";"53,005";
"01/05/2018  05:14:56";"52,577";
"01/05/2018  07:12:56";"52,546";
"01/05/2018  09:10:56";"52,812";
"01/05/2018  11:10:56";"52,927";
"01/05/2018  13:08:56";"53,005";
"01/05/2018  15:08:56";"52,927";
"01/05/2018  17:06:56";"52,734";
"01/05/2018  19:06:56";"52,734";
"01/05/2018  21:06:56";"52,692";
"01/05/2018  23:04:56";"52,692";
"02/05/2018  01:04:56";"52,734";
"02/05/2018  03:04:56";"52,734";
"02/05/2018  05:02:56";"52,692";
"02/05/2018  07:00:56";"52,927";
"02/05/2018  09:00:56";"52,692";
"02/05/2018  10:58:56";"52,614";
"02/05/2018  12:58:56";"52,421";
"02/05/2018  14:56:56";"52,734";
"02/05/2018  16:56:56";"52,734";
"02/05/2018  18:54:56";"53,041";
"02/05/2018  20:54:56";"52,734";
"02/05/2018  22:54:56";"52,885";
"03/05/2018  00:52:56";"53,041";
"03/05/2018  02:52:56";"52,885";
"03/05/2018  04:50:56";"52,885";
"03/05/2018  06:50:56";"53,041";
"03/05/2018  08:50:56";"52,770";
"03/05/2018  10:50:56";"53,041";
"03/05/2018  12:48:56";"52,885";
"03/05/2018  14:48:56";"52,885";
"03/05/2018  16:46:56";"52,770";
